Provinsi,hb_2022,hk_2022,Indeks Pembangunan Manusia,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,kelurahan_jumlah_sd,kelurahan_jumlah_smp,kelurahan_jumlah_sma,kelurahan_jumlah_smk,kelurahan_jumlah_pt,Persentase Penduduk Miskin - Maret,Luas Wilayah (km2),2022
DI. ACEH,39156.01,26063.5,72.8,64.0,6.0,181.0,178.0,3299.0,1338.0,692.0,200.0,115.0,14.64,57956.0,5407.9
SUMATERA UTARA,63194.18,37943.83,72.71,195.0,25.0,188.0,420.0,5000.0,2275.0,1108.0,704.0,214.0,8.42,72981.23,15115.2
SUMATERA BARAT,50593.41,32377.51,73.26,49.0,30.0,111.0,165.0,1256.0,798.0,407.0,176.0,101.0,5.92,42012.89,5640.6
RIAU,149914.13,80057.79,73.52,59.0,15.0,102.0,129.0,1813.0,1198.0,608.0,260.0,78.0,6.78,87023.66,2179.8
RIAU,149914.13,80057.79,73.52,59.0,15.0,102.0,129.0,1813.0,1198.0,608.0,260.0,78.0,6.78,87023.66,6614.4
JAMBI,76096.4,44536.39,72.14,38.0,4.0,88.0,119.0,1446.0,780.0,360.0,158.0,42.0,7.62,50058.16,3631.1
SUMATERA SELATAN,68338.1,39676.95,70.9,68.0,18.0,113.0,230.0,2999.0,1378.0,686.0,250.0,98.0,11.9,91592.43,8657.0
BENGKULU,43741.71,24230.02,72.16,22.0,2.0,52.0,127.0,1175.0,472.0,185.0,96.0,27.0,14.62,19919.33,2060.1
LAMPUNG,45129.34,28064.39,70.45,59.0,21.0,140.0,172.0,2490.0,1390.0,644.0,382.0,88.0,11.57,34623.8,9176.6
BANGKA BELITUNG,63752.24,38674.15,72.24,21.0,4.0,26.0,38.0,390.0,214.0,82.0,49.0,16.0,4.45,16424.06,1494.6
DKI JAKARTA,298359.97,182908.69,81.65,141.0,51.0,6.0,309.0,260.0,254.0,219.0,216.0,141.0,4.69,664.01,10680.0
JAWA BARAT,49038.41,32182.15,73.12,309.0,67.0,299.0,784.0,5933.0,4255.0,2106.0,2079.0,446.0,8.06,35377.76,49405.8
JAWA TENGAH,42149.54,28362.24,72.79,267.0,43.0,371.0,507.0,8428.0,3639.0,1292.0,1213.0,297.0,10.93,32800.69,37032.4
DAERAH ISTIMEWA YOGYAKARTA,44044.64,30011.22,80.64,60.0,23.0,49.0,72.0,436.0,317.0,144.0,145.0,64.0,11.34,3133.15,3761.9
JAWA TIMUR,66364.73,42717.44,72.75,302.0,90.0,575.0,393.0,8362.0,4752.0,2476.0,1642.0,448.0,10.38,47803.49,41150.0
BANTEN,60990.14,39515.38,73.32,85.0,34.0,81.0,164.0,1538.0,1234.0,678.0,517.0,125.0,6.16,9662.92,12252.0
BALI,55544.66,34160.65,76.44,65.0,12.0,41.0,79.0,707.0,321.0,143.0,129.0,52.0,4.57,5780.06,4415.1
NUSATENGGARA BARAT,28672.54,18648.19,69.46,34.0,5.0,142.0,32.0,1139.0,885.0,563.0,289.0,74.0,13.68,18572.32,5473.7
NUSA TENGGARA TIMUR,21718.26,13298.85,65.9,50.0,3.0,164.0,246.0,3181.0,1562.0,576.0,292.0,64.0,20.05,48718.1,5466.3
KALIMANTAN BARAT,46161.33,26774.75,68.63,45.0,9.0,129.0,117.0,2012.0,1114.0,411.0,174.0,54.0,6.73,147307.0,5541.4
KALIMANTAN TENGAH,72945.07,39799.98,71.63,24.0,3.0,86.0,119.0,1526.0,783.0,271.0,115.0,18.0,5.28,153564.5,2741.1
KALIMANTAN SELATAN,60079.32,34035.52,71.84,38.0,8.0,52.0,184.0,1861.0,764.0,312.0,107.0,54.0,4.49,38744.23,4182.1
KALIMANTAN TIMUR,238700.72,131136.62,77.44,45.0,11.0,98.0,89.0,990.0,541.0,233.0,147.0,47.0,6.31,129066.64,3859.8
KALIMANTAN UTARA,190611.1,91424.16,71.83,11.0,0.0,22.0,33.0,310.0,148.0,59.0,30.0,12.0,6.77,75467.7,727.8
SULAWESI UTARA,59043.36,36385.08,73.81,43.0,6.0,95.0,100.0,1561.0,713.0,248.0,178.0,65.0,7.28,13892.47,2659.5
SULAWESI TENGAH,105545.36,56285.05,70.28,35.0,5.0,104.0,103.0,1917.0,945.0,327.0,167.0,41.0,12.33,61841.29,3066.1
SULAWESI SELATAN,65593.03,39115.98,72.82,86.0,28.0,304.0,157.0,2945.0,1755.0,799.0,332.0,170.0,8.63,46717.48,9225.8
SULAWESI TENGGARA,58764.27,37998.09,72.23,36.0,1.0,91.0,201.0,1867.0,890.0,388.0,155.0,35.0,11.17,38067.7,2701.7
GORONTALO,39886.78,25392.4,69.81,15.0,1.0,26.0,67.0,655.0,359.0,109.0,54.0,19.0,15.42,11257.07,1192.7
SULAWESI BARAT,37070.31,23073.25,66.92,11.0,1.0,60.0,36.0,631.0,401.0,160.0,110.0,21.0,11.75,16787.18,1458.6
MALUKU,28533.85,17708.13,70.22,30.0,1.0,64.0,151.0,1083.0,601.0,266.0,97.0,45.0,15.97,46914.03,1881.7
MALUKU UTARA,53741.05,30506.5,69.47,20.0,1.0,53.0,94.0,1067.0,593.0,269.0,132.0,22.0,6.23,31982.5,1319.3
PAPUA BARAT,77149.68,52833.61,65.89,20.0,0.0,45.0,116.0,941.0,301.0,134.0,50.0,34.0,21.33,102955.15,1183.3
PAPUA,59411.79,39131.31,61.39,46.0,2.0,126.0,302.0,2112.0,617.0,229.0,127.0,57.0,26.56,319036.05,4418.6
