negara,tahun,pertumbuhan_penduduk
Indonesia,1961,2.716751302
Indonesia,1962,2.746173525
Indonesia,1963,2.765022621
Indonesia,1964,2.787446823
Indonesia,1965,2.485010632
Indonesia,1966,2.347947891
Indonesia,1967,2.573414478
Indonesia,1968,2.672379138
Indonesia,1969,2.721077668
Indonesia,1970,2.708565578
Indonesia,1971,2.670593422
Indonesia,1972,2.632624962
Indonesia,1973,2.603511095
Indonesia,1974,2.56185276
Indonesia,1975,2.522157954
Indonesia,1976,2.4896911
Indonesia,1977,2.452934162
Indonesia,1978,2.428834663
Indonesia,1979,2.407666301
Indonesia,1980,2.379329522
Indonesia,1981,2.340666337
Indonesia,1982,2.308442639
Indonesia,1983,2.268717962
Indonesia,1984,2.205696436
Indonesia,1985,2.10887582
Indonesia,1986,1.996668176
Indonesia,1987,1.924259576
Indonesia,1988,1.880610557
Indonesia,1989,1.835429336
Indonesia,1990,1.778290867
Indonesia,1991,1.742177499
Indonesia,1992,1.710135304
Indonesia,1993,1.67182801
Indonesia,1994,1.650685577
Indonesia,1995,1.63416752
Indonesia,1996,1.618816861
Indonesia,1997,1.6030893
Indonesia,1998,1.564932863
Indonesia,1999,1.500042943
Indonesia,2000,1.447088484
Indonesia,2001,1.410098855
Indonesia,2002,1.373519281
Indonesia,2003,1.338043891
Indonesia,2004,1.273226489
Indonesia,2005,1.260748296
Indonesia,2006,1.299308899
Indonesia,2007,1.311847596
Indonesia,2008,1.302170535
Indonesia,2009,1.27153209
Indonesia,2010,1.251517291
Indonesia,2011,1.255738089
Indonesia,2012,1.255941458
Indonesia,2013,1.21281781
Indonesia,2014,1.159506642
Indonesia,2015,1.110854932
Indonesia,2016,1.058942059
Indonesia,2017,1.006439524
Indonesia,2018,0.966206436
Indonesia,2019,0.937689274
Indonesia,2020,0.840389268
Indonesia,2021,0.694717688
Pakistan,1961,2.379701227
Pakistan,1962,2.312420064
Pakistan,1963,2.386503858
Pakistan,1964,2.458215452
Pakistan,1965,2.517919718
Pakistan,1966,2.585396396
Pakistan,1967,2.653201202
Pakistan,1968,2.699737371
Pakistan,1969,2.727833264
Pakistan,1970,2.760026536
Pakistan,1971,2.642932538
Pakistan,1972,2.643489468
Pakistan,1973,2.801644423
Pakistan,1974,2.857629886
Pakistan,1975,2.946126755
Pakistan,1976,3.041511694
Pakistan,1977,3.112320793
Pakistan,1978,3.17633072
Pakistan,1979,3.440639331
Pakistan,1980,4.071545786
Pakistan,1981,4.423124791
Pakistan,1982,4.135428397
Pakistan,1983,3.63597147
Pakistan,1984,3.159359421
Pakistan,1985,3.262738769
Pakistan,1986,3.537305855
Pakistan,1987,3.546597907
Pakistan,1988,3.503104144
Pakistan,1989,3.371816359
Pakistan,1990,3.297471166
Pakistan,1991,3.230643374
Pakistan,1992,2.625886811
Pakistan,1993,2.55855603
Pakistan,1994,2.903377953
Pakistan,1995,2.952111316
Pakistan,1996,3.046138376
Pakistan,1997,2.940607026
Pakistan,1998,2.891238262
Pakistan,1999,2.858444356
Pakistan,2000,3.075552912
Pakistan,2001,3.092079184
Pakistan,2002,2.50885976
Pakistan,2003,2.189388121
Pakistan,2004,2.235149207
Pakistan,2005,2.158492155
Pakistan,2006,2.098513142
Pakistan,2007,2.141523972
Pakistan,2008,2.178889217
Pakistan,2009,2.229162535
Pakistan,2010,2.252579345
Pakistan,2011,2.110834578
Pakistan,2012,1.79797543
Pakistan,2013,1.536897649
Pakistan,2014,1.409182973
Pakistan,2015,1.296551724
Pakistan,2016,1.204055673
Pakistan,2017,1.328135434
Pakistan,2018,1.537172403
Pakistan,2019,1.607981347
Pakistan,2020,1.73302782
Pakistan,2021,1.834062082
United States,1961,1.657730037
United States,1962,1.537997358
United States,1963,1.439164762
United States,1964,1.389046055
United States,1965,1.250171646
United States,1966,1.154893191
United States,1967,1.088881207
United States,1968,0.998461044
United States,1969,0.977242812
United States,1970,1.165002667
United States,1971,1.264333692
United States,1972,1.070522752
United States,1973,0.954476729
United States,1974,0.913660196
United States,1975,0.985986067
United States,1976,0.950220049
United States,1977,1.005771996
United States,1978,1.05957308
United States,1979,1.103576565
United States,1980,0.959589923
United States,1981,0.981415437
United States,1982,0.953317566
United States,1983,0.914378513
United States,1984,0.865817336
United States,1985,0.886129041
United States,1986,0.924164157
United States,1987,0.893829201
United States,1988,0.90799904
United States,1989,0.944405555
United States,1990,1.12965052
United States,1991,1.336260741
United States,1992,1.386885692
United States,1993,1.31868
United States,1994,1.226296089
United States,1995,1.190787091
United States,1996,1.16341162
United States,1997,1.203960297
United States,1998,1.165714526
United States,1999,1.148340047
United States,2000,1.112768997
United States,2001,0.989741382
United States,2002,0.927797486
United States,2003,0.859481713
United States,2004,0.925483969
United States,2005,0.921713167
United States,2006,0.964253917
United States,2007,0.951055243
United States,2008,0.945865287
United States,2009,0.876651299
United States,2010,0.829616675
United States,2011,0.726786705
United States,2012,0.733599941
United States,2013,0.692860277
United States,2014,0.73336152
United States,2015,0.736217309
United States,2016,0.724676067
United States,2017,0.632643995
United States,2018,0.526435396
United States,2019,0.455381286
United States,2020,0.961201052
United States,2021,0.118380497
China,1961,-1.015527787
China,1962,0.820455549
China,1963,2.457647404
China,1964,2.320682987
China,1965,2.381368103
China,1966,2.787331838
China,1967,2.57069762
China,1968,2.610902626
China,1969,2.740002106
China,1970,2.761675566
China,1971,2.74691555
China,1972,2.45735693
China,1973,2.283395364
China,1974,2.065955013
China,1975,1.766391782
China,1976,1.547337973
China,1977,1.362779476
China,1978,1.338182338
China,1979,1.333927954
China,1980,1.254221052
China,1981,1.280952344
China,1982,1.47267476
China,1983,1.444949695
China,1984,1.312068761
China,1985,1.361699118
China,1986,1.487398929
China,1987,1.603605087
China,1988,1.610071086
China,1989,1.533169996
China,1990,1.467303211
China,1991,1.364434008
China,1992,1.225536228
China,1993,1.149619431
China,1994,1.130260632
China,1995,1.086509151
China,1996,1.048141514
China,1997,1.023450024
China,1998,0.959550406
China,1999,0.865851393
China,2000,0.787956593
China,2001,0.726380638
China,2002,0.669999568
China,2003,0.622860936
China,2004,0.593932815
China,2005,0.58812499
China,2006,0.558374367
China,2007,0.522271866
China,2008,0.512386932
China,2009,0.497381401
China,2010,0.482959689
China,2011,0.546457595
China,2012,0.678345459
China,2013,0.666072978
China,2014,0.63032639
China,2015,0.581456147
China,2016,0.573050906
China,2017,0.605245013
China,2018,0.467672053
China,2019,0.35474089
China,2020,0.23804087
China,2021,0.0892522
India,1961,2.304706381
India,1962,2.311689163
India,1963,2.3090789
India,1964,2.301191796
India,1965,2.235299586
India,1966,2.151837768
India,1967,2.128767359
India,1968,2.168861631
India,1969,2.203157234
India,1970,2.210183277
India,1971,2.217008176
India,1972,2.227430962
India,1973,2.251176307
India,1974,2.258204381
India,1975,2.238457277
India,1976,2.209050614
India,1977,2.208416587
India,1978,2.212935178
India,1979,2.223534061
India,1980,2.261218853
India,1981,2.275892992
India,1982,2.260807779
India,1983,2.258689246
India,1984,2.262755052
India,1985,2.248362401
India,1986,2.235271247
India,1987,2.21094603
India,1988,2.184281791
India,1989,2.169217481
India,1990,2.141140539
India,1991,2.101891054
India,1992,2.074344245
India,1993,2.047837361
India,1994,2.02085602
India,1995,1.991871229
India,1996,1.951435501
India,1997,1.919262595
India,1998,1.887557865
India,1999,1.849333251
India,2000,1.822184002
India,2001,1.808446421
India,2002,1.776767874
India,2003,1.724269032
India,2004,1.67281087
India,2005,1.604129169
India,2006,1.52430796
India,2007,1.46637175
India,2008,1.422391509
India,2009,1.39119493
India,2010,1.377595812
India,2011,1.361588085
India,2012,1.33219205
India,2013,1.297548835
India,2014,1.240362184
India,2015,1.18779532
India,2016,1.185046229
India,2017,1.155624491
India,2018,1.087527722
India,2019,1.025310772
India,2020,0.955220858
India,2021,0.797216094
