Provinsi,2018,2019,2020,2021,2022
DI. ACEH,5243.4,5316.3,5274.9,5333.7,5407.9
BALI,4309.2,4362.0,4317.4,4362.7,4415.1
BANTEN,12530.8,12714.3,11904.6,12061.5,12252.0
BENGKULU,1948.6,1971.8,2010.7,2032.9,2060.1
DAERAH ISTIMEWA YOGYAKARTA,3818.3,3868.6,3668.7,3712.9,3761.9
DKI JAKARTA,10428.0,10504.1,10562.1,10609.7,10680.0
GORONTALO,1166.1,1176.4,1171.7,1181.0,1192.7
JAMBI,3527.1,3566.2,3548.2,3585.1,3631.1
JAWA BARAT,48475.5,49023.2,48274.2,48782.4,49405.8
JAWA TENGAH,34358.5,34552.5,36516.0,36742.5,37032.4
JAWA TIMUR,39521.9,39744.8,40665.7,40878.8,41150.0
KALIMANTAN BARAT,4985.1,5045.7,5414.4,5470.8,5541.4
KALIMANTAN SELATAN,4162.4,4216.3,4073.6,4122.6,4182.1
KALIMANTAN TENGAH,2612.6,2649.8,2670.0,2702.2,2741.1
KALIMANTAN TIMUR,3573.8,3619.7,3766.0,3808.2,3859.8
KALIMANTAN UTARA,682.8,695.6,701.8,713.6,727.8
BANGKA BELITUNG,1432.1,1451.1,1455.7,1473.2,1494.6
RIAU,2174.8,2241.6,2064.6,2118.2,2179.8
LAMPUNG,8377.7,8457.6,9007.8,9081.8,9176.6
MALUKU,1749.5,1768.5,1848.9,1862.6,1881.7
MALUKU UTARA,1218.8,1235.7,1282.9,1299.2,1319.3
NUSATENGGARA BARAT,5077.7,5152.4,5320.1,5390.0,5473.7
NUSA TENGGARA TIMUR,5360.3,5437.2,5325.6,5387.7,5466.3
PAPUA,3300.2,3347.1,4303.7,4355.5,4418.6
PAPUA BARAT,941.4,963.6,1134.1,1156.8,1183.3
RIAU,6717.6,6835.1,6394.1,6493.6,6614.4
SULAWESI BARAT,1340.1,1359.2,1419.2,1436.8,1458.6
SULAWESI SELATAN,8748.1,8819.5,9073.5,9139.5,9225.8
SULAWESI TENGAH,3001.9,3042.1,2985.7,3021.9,3066.1
SULAWESI TENGGARA,2623.6,2663.7,2624.9,2659.2,2701.7
SULAWESI UTARA,2474.4,2494.1,2621.9,2638.6,2659.5
SUMATERA BARAT,5411.8,5479.5,5534.5,5580.2,5640.6
SUMATERA SELATAN,8391.5,8497.2,8467.4,8550.9,8657.0
SUMATERA UTARA,14476.0,14639.4,14799.4,14936.2,15115.2
